Site,Date,Dy,Solar,Reflect,Tave,Tmax,Tmin,RHave,RHmin,Wind,WindMax,Precip,SnowD,Tsnow,IRTSurfA,IRTSurfX,IRTSurfN,Tsoil005,Tsoil15,Tsoil50,SoilH2O,Vapres,vpdX,ClrSky
PK,16-Apr-19,106,18.18,14.15,0.8,8.7,-10.1,61.2,24.4,1.4,4.4,0,0.541,-0.2,-5.3,1,-17.8,NA,NA,NA,NA,0.275,0.852,25.26
PK,17-Apr-19,107,23.14,16.05,3.9,8.8,0.2,60.1,37.4,3.1,8.1,0,0.506,0,-0.4,0.9,-3.2,NA,NA,NA,NA,0.423,0.708,25.49
PK,18-Apr-19,108,9.43,6.18,3.4,6.6,0.1,95.6,89,0.8,4.2,16,0.471,-0.1,0.4,1.4,-0.1,NA,NA,NA,NA,0.865,0.107,25.73
PK,19-Apr-19,109,10.68,6.66,4.7,9.5,0.8,84.3,61.5,1.7,5.3,8,0.434,-0.1,0.6,2.1,-0.3,NA,NA,NA,NA,0.73,0.457,25.96
PK,20-Apr-19,110,21.65,13.82,0.6,5.3,-6.3,70.6,37.3,2.4,6.9,0,0.425,-0.2,-2.8,0.5,-10.9,NA,NA,NA,NA,0.332,0.558,26.18
PK,21-Apr-19,111,24.22,15.74,2.8,13.1,-8.6,53,14.4,1.3,5,0,0.393,0,-4.4,1.2,-13.9,NA,NA,NA,NA,0.217,1.29,26.41
PK,22-Apr-19,112,7.72,4.86,3.3,10.4,-4.8,70.4,40.6,0.9,3.9,0,0.377,-0.1,-1.6,1.2,-8.1,NA,NA,NA,NA,0.513,0.751,26.63
PK,23-Apr-19,113,17.14,10.59,4,9.2,-3.2,69.8,37.5,2.3,7,0,0.337,-0.1,-0.9,1.3,-7.2,NA,NA,NA,NA,0.435,0.725,26.85
PK,24-Apr-19,114,20.42,12.92,0.3,6.9,-6,67.4,33.4,1.6,6,0,0.326,-0.1,-3.6,1.1,-10.4,NA,NA,NA,NA,0.331,0.66,27.07
PK,25-Apr-19,115,21.07,13.67,2.2,11.1,-8.2,58,18,1,4.3,0,0.299,0,-3.5,1.4,-13.5,NA,NA,NA,NA,0.237,1.08,27.29
PK,26-Apr-19,116,20.77,13.14,3.3,9.4,-3,54.2,20.7,2.5,7.8,0,0.276,0,-1.4,1.6,-6.6,NA,NA,NA,NA,0.244,0.935,27.5
PK,27-Apr-19,117,15.04,10.98,-2.8,0,-4.8,75.8,54.5,2.8,7.9,4.51,0.288,-0.2,-3.6,-0.2,-9.7,NA,NA,NA,NA,0.332,0.277,27.71
PK,28-Apr-19,118,21.74,17.04,-1.6,4.4,-7.1,71.5,33.5,2.3,7.4,0,0.265,0,-5.1,0.8,-12.4,NA,NA,NA,NA,0.28,0.556,27.92
PK,29-Apr-19,119,16.31,12,-2.5,5.3,-9.5,70.3,34.7,1,5.5,0,0.262,-0.1,-7.5,1.3,-15.6,NA,NA,NA,NA,0.31,0.583,28.12
PK,30-Apr-19,120,21.81,15.4,-0.9,5.4,-10,59.6,29.4,1.3,5.8,0,0.262,0,-6,1,-17.3,NA,NA,NA,NA,0.263,0.632,28.32
